team_name,match_id,home/away,coach,opponent,goal_scored,goal_conceded,result,points_tracker,own_goals,formation,%possession,total_shots,on_target,off_target,on_post,penalties,%shot_precision,total_xG,mean_xG,total_xG_goals,mean_xG_goals,total_passes,correct_passes,uncorrect_passes,offsides,%pass_precision,win,possession_bin
AS Roma,3878541,away,Rudi Garcia,Hellas Verona,1,1,Draw,1,0,4-3-3,64.7,21,7,14,1,0,33.3,1.1142521330000001,0.05305962538095239,0.01322126,0.01322126,591,503,88,1,85.1,0,61-70%
AS Roma,3878555,home,Rudi Garcia,Juventus,2,1,Win,4,0,4-3-3,63.0,18,7,11,1,0,38.9,1.2035307047000001,0.06686281692777779,0.271478922,0.135739461,614,511,103,1,83.2,1,61-70%
AS Roma,3878593,away,Rudi Garcia,Frosinone,2,0,Win,7,0,4-2-3-1,54.4,20,3,17,1,0,15.0,1.5379258649999998,0.07689629325,0.49075346,0.24537673,451,338,113,0,74.9,1,51-60%
AS Roma,3878607,home,Rudi Garcia,Sassuolo,2,2,Draw,8,0,4-2-3-1,66.0,21,7,14,0,0,33.3,2.4057406160000006,0.11455907695238098,0.42332446,0.21166223,607,512,95,2,84.3,0,61-70%
AS Roma,3879545,away,Rudi Garcia,Sampdoria,1,2,Lose,8,1,4-3-3,67.3,25,7,18,0,0,28.0,1.745954707,0.06983818828,0.11681342,0.11681342,582,481,101,0,82.6,0,61-70%
AS Roma,3879547,home,Rudi Garcia,Carpi,5,1,Win,11,0,4-3-3,68.3,17,10,7,1,0,58.8,3.3696045194999997,0.19821203055882353,2.06733214,0.413466428,729,633,96,0,86.8,1,61-70%
AS Roma,3879564,away,Rudi Garcia,Palermo,4,2,Win,14,0,4-4-1-1,59.2,13,8,5,0,0,61.5,2.376904229,0.18283878684615384,1.24328646,0.310821615,632,536,96,4,84.8,1,51-60%
AS Roma,3879567,home,Rudi Garcia,Empoli,3,1,Win,17,0,4-4-2,57.2,10,5,5,0,0,50.0,1.009133036,0.10091330359999999,0.47322114,0.15774037999999999,623,513,110,4,82.3,1,51-60%
AS Roma,3879583,away,Rudi Garcia,Fiorentina,2,1,Win,20,0,4-3-3,28.0,6,3,3,0,0,50.0,1.130541658,0.18842360966666669,0.591478444,0.295739222,313,205,108,0,65.5,1,0-40%
AS Roma,3879592,home,Rudi Garcia,Udinese,3,1,Win,23,0,4-3-3,63.0,19,8,11,0,0,42.1,1.4971693925,0.07879838907894737,0.472224025,0.15740800833333332,630,554,76,4,87.9,1,61-70%
