match_id,match_week,stadium_name,referee_name,home_coach,away_coach,home_team_name,away_team_name,home_score,away_score
3878541,1,Stadio Marc''Antonio Bentegodi,Marco Guida,Andrea Mandorlini,Rudi Garcia,Hellas Verona,AS Roma,1,1
3878540,1,Estadio Olímpico,Gianluca Rocchi,Stefano Pioli,Delio Rossi,Lazio,Bologna,2,1
3878549,1,Stadio Carlo Castellani,Maurizio Mariani,Marco Giampaolo,Rolando Maran,Empoli,Chievo,1,3
3878548,1,Allianz Stadium    	,Paolo Silvio Mazzoleni,Massimiliano Allegri,Stefano Colantuono,Juventus,Udinese,0,1
3878547,1,Stadio Comunale Matusa,Luca Banti,Roberto Stellone,Gian Piero Ventura	,Frosinone,Torino,1,2
3878546,1,MAPEI Stadium - Città del Tricolore,Daniele Doveri,Eusebio Di Francesco,Maurizio Sarri,Sassuolo,Napoli,2,1
3878545,1,Stadio Comunale Luigi Ferraris,Michael Fabbri,Walter Zenga,Fabrizio Castori,Sampdoria,Carpi,5,2
3878544,1,Stadio Renzo Barbera,Massimiliano Irrati,Giuseppe Iachini,Gian Piero Gasperini,Palermo,Genoa,1,0
3878543,1,Stadio Giuseppe Meazza    ,Gianpaolo Calvarese	,Roberto Mancini,Edoardo Reja,Inter Milan,Atalanta,1,0
3878542,1,Stadio Artemio Franchi    	,Paolo Valeri,Paulo Manuel Carvalho de Sousa,Siniša Mihajlović,Fiorentina,AC Milan,2,0
3878551,2,Stadio Giuseppe Meazza    ,Piero Giacomelli,Siniša Mihajlović,Marco Giampaolo,AC Milan,Empoli,2,1
3878550,2,Stadio Renato Dall''Ara,Carmine Russo,Delio Rossi,Eusebio Di Francesco,Bologna,Sassuolo,0,1
3878559,2,Gewiss Stadium,Domenico Celi,Edoardo Reja,Roberto Stellone,Atalanta,Frosinone,2,0
3878558,2,Stadio Diego Armando Maradona,Andrea Gervasoni,Maurizio Sarri,Walter Zenga,Napoli,Sampdoria,2,2
3878557,2,Dacia Arena,Antonio Damato,Stefano Colantuono,Giuseppe Iachini,Udinese,Palermo,0,1
3878556,2,Stadio Olimpico Grande Torino,Paolo Tagliavento,Gian Piero Ventura	,Paulo Manuel Carvalho de Sousa,Torino,Fiorentina,3,1
3878555,2,Estadio Olímpico,Nicola Rizzoli,Rudi Garcia,Massimiliano Allegri,AS Roma,Juventus,2,1
3878554,2,Stadio Comunale Luigi Ferraris,Daniele Orsato,Gian Piero Gasperini,Andrea Mandorlini,Genoa,Hellas Verona,2,0
3878553,2,Stadio Marc''Antonio Bentegodi,Marco Di Bello,Rolando Maran,Stefano Pioli,Chievo,Lazio,4,0
3878552,2,Stadio Alberto Braglia (Modena),Davide Massa,Fabrizio Castori,Roberto Mancini,Carpi,Inter Milan,1,2
3878594,3,Allianz Stadium    	,Marco Guida,Massimiliano Allegri,Rolando Maran,Juventus,Chievo,1,1
3878593,3,Stadio Comunale Matusa,Andrea Gervasoni,Roberto Stellone,Rudi Garcia,Frosinone,AS Roma,0,2
3878592,3,Stadio Artemio Franchi    	,Daniele Doveri,Paulo Manuel Carvalho de Sousa,Gian Piero Gasperini,Fiorentina,Genoa,1,0
3878600,3,Stadio Giuseppe Meazza    ,Gianluca Rocchi,Roberto Mancini,Siniša Mihajlović,Inter Milan,AC Milan,1,0
3878599,3,MAPEI Stadium - Città del Tricolore,Maurizio Mariani,Eusebio Di Francesco,Edoardo Reja,Sassuolo,Atalanta,2,2
3878598,3,Stadio Renzo Barbera,Claudio Gavillucci,Giuseppe Iachini,Fabrizio Castori,Palermo,Carpi,2,2
3878597,3,Stadio Carlo Castellani,Luca Banti,Marco Giampaolo,Maurizio Sarri,Empoli,Napoli,2,2
3878596,3,Stadio Marc''Antonio Bentegodi,Massimiliano Irrati,Andrea Mandorlini,Gian Piero Ventura	,Hellas Verona,Torino,2,2
3878595,3,Estadio Olímpico,Gianpaolo Calvarese	,Stefano Pioli,Stefano Colantuono,Lazio,Udinese,2,0
3878601,3,Stadio Comunale Luigi Ferraris,Angelo Cervellera,Walter Zenga,Delio Rossi,Sampdoria,Bologna,2,0
3878603,4,Dacia Arena,Michael Fabbri,Stefano Colantuono,Marco Giampaolo,Udinese,Empoli,1,2
3878602,4,Stadio Giuseppe Meazza    ,Carmine Russo,Siniša Mihajlović,Giuseppe Iachini,AC Milan,Palermo,3,2
3878611,4,Stadio Marc''Antonio Bentegodi,Paolo Tagliavento,Rolando Maran,Roberto Mancini,Chievo,Inter Milan,0,1
3878610,4,Gewiss Stadium,Fabio Maresca,Edoardo Reja,Andrea Mandorlini,Atalanta,Hellas Verona,1,1
3878608,4,Stadio Renato Dall''Ara,Daniele Orsato,Delio Rossi,Roberto Stellone,Bologna,Frosinone,1,0
3878607,4,Estadio Olímpico,Davide Massa,Rudi Garcia,Eusebio Di Francesco,AS Roma,Sassuolo,2,2
3878606,4,Stadio Olimpico Grande Torino,Piero Giacomelli,Gian Piero Ventura	,Walter Zenga,Torino,Sampdoria,2,0
3878605,4,Stadio Alberto Braglia (Modena),Marco Di Bello,Fabrizio Castori,Paulo Manuel Carvalho de Sousa,Carpi,Fiorentina,0,1
3878609,4,Stadio Comunale Luigi Ferraris,Paolo Valeri,Gian Piero Gasperini,Massimiliano Allegri,Genoa,Juventus,0,2
3878604,4,Stadio Diego Armando Maradona,Antonio Damato,Maurizio Sarri,Stefano Pioli,Napoli,Lazio,5,0
3879537,5,Dacia Arena,Daniele Doveri,Stefano Colantuono,Siniša Mihajlović,Udinese,AC Milan,2,3
3879545,5,Stadio Comunale Luigi Ferraris,Luca Banti,Walter Zenga,Rudi Garcia,Sampdoria,AS Roma,2,1
3879544,5,Stadio Renzo Barbera,Luca Pairetto,Giuseppe Iachini,Eusebio Di Francesco,Palermo,Sassuolo,0,1
3879543,5,Allianz Stadium    	,Angelo Cervellera,Massimiliano Allegri,Roberto Stellone,Juventus,Frosinone,1,1
3879542,5,Stadio Giuseppe Meazza    ,Carmine Russo,Roberto Mancini,Andrea Mandorlini,Inter Milan,Hellas Verona,1,0
3879541,5,Stadio Artemio Franchi    	,Gianpaolo Calvarese	,Paulo Manuel Carvalho de Sousa,Delio Rossi,Fiorentina,Bologna,2,0
3879540,5,Stadio Marc''Antonio Bentegodi,Domenico Celi,Rolando Maran,Gian Piero Ventura	,Chievo,Torino,1,0
3879539,5,Stadio Alberto Braglia (Modena),Gianluca Rocchi,Fabrizio Castori,Maurizio Sarri,Carpi,Napoli,0,0
3879538,5,Estadio Olímpico,Nicola Rizzoli,Stefano Pioli,Gian Piero Gasperini,Lazio,Genoa,2,0
3879546,5,Stadio Carlo Castellani,Claudio Gavillucci,Marco Giampaolo,Edoardo Reja,Empoli,Atalanta,0,1
3879548,6,Stadio Diego Armando Maradona,Daniele Orsato,Maurizio Sarri,Massimiliano Allegri,Napoli,Juventus,2,1
3879547,6,Estadio Olímpico,Massimiliano Irrati,Rudi Garcia,Fabrizio Castori,AS Roma,Carpi,5,1
