player_name,date_of_birth,position,nationality,image_url,age
Vassilis Torosidis,1985-05-10,Defender,Greece,https://www.almanaccogiallorosso.it/Giocatori/Torosidis1516.jpg,31
Wojciech Szczęsny,1990-04-18,Goalkeeper,Poland,https://www.almanaccogiallorosso.it/Giocatori/Szczesny1516.jpg,26
Edin Džeko,1986-03-17,Attacker,Bosnia and Herzegovina,https://www.almanaccogiallorosso.it/Giocatori/Dzeko1516.jpg,30
Gervais Lombe Yao Kouassi,1987-05-27,Attacker,Ivory Coast,https://www.almanaccogiallorosso.it/Giocatori/Gervinho1516.jpg,29
Daniele De Rossi,1983-07-24,Midfielder,Italy,https://www.almanaccogiallorosso.it/Giocatori/DeRossi1516.jpg,32
Miralem Pjanić,1990-04-02,Midfielder,Bosnia and Herzegovina,https://www.almanaccogiallorosso.it/Giocatori/Pjanic1516.jpg,26
Radja Nainggolan,1988-05-04,Midfielder,Belgium,https://www.almanaccogiallorosso.it/Giocatori/Nainggolan1516.jpg,28
Mohamed Salah,1992-06-15,Attacker,Egypt,https://www.almanaccogiallorosso.it/Giocatori/Salah1516.jpg,24
Leandro Castán da Silva,1986-11-05,Defender,Brazil,https://www.almanaccogiallorosso.it/Giocatori/Castan1516.jpg,29
Konstantinos Manolas,1991-03-14,Defender,Greece,https://www.almanaccogiallorosso.it/Giocatori/Manolas1516.jpg,25
Alessandro Florenzi,1991-03-11,Midfielder,Italy,https://www.almanaccogiallorosso.it/Giocatori/Florenzi1516.jpg,25
Seydou Kéita,1980-01-16,Midfielder,Mali,https://www.almanaccogiallorosso.it/Giocatori/Keita1516.jpg,36
Iago Falqué Silva,1990-01-04,Midfielder,Spain,https://www.almanaccogiallorosso.it/Giocatori/IagoFalque1516.jpg,26
Segundo Víctor Ibarbo Guerrero,1990-05-19,Attacker,Colombia,https://www.almanaccogiallorosso.it/Giocatori/Ibarbo1516.jpg,26
Lucas Digne,1993-07-20,Defender,France,https://www.almanaccogiallorosso.it/Giocatori/Digne1516.jpg,22
Juan Manuel Iturbe Arévalo,1993-06-04,Attacker,Paraguay,https://www.almanaccogiallorosso.it/Giocatori/Iturbe1516.jpg,23
Adem Ljajić,1991-09-29,Midfielder,Serbia,https://www.almanaccogiallorosso.it/Giocatori/Ljajic1516.jpg,24
Francesco Totti,1976-09-27,Attacker,Italy,https://www.almanaccogiallorosso.it/Giocatori/Totti1516.jpg,39
Antonio Rüdiger,1993-03-03,Defender,Germany,https://www.almanaccogiallorosso.it/Giocatori/Rudiger1516.jpg,23
Maicon Douglas Sisenando,1981-07-26,Defender,Brazil,https://www.almanaccogiallorosso.it/Giocatori/Maicon1516.jpg,34
Morgan De Sanctis,1977-03-26,Goalkeeper,Italy,https://www.almanaccogiallorosso.it/Giocatori/DeSanctis1516.jpg,39
Salih Uçan,1994-01-06,Midfielder,Turkey,https://www.almanaccogiallorosso.it/Giocatori/Ucan1516.jpg,22
William Vainqueur,1988-11-19,Midfielder,France,https://www.almanaccogiallorosso.it/Giocatori/Vainqueur1516.jpg,27
Emerson Palmieri dos Santos,1994-08-03,Defender,Brazil,https://www.almanaccogiallorosso.it/Giocatori/EmersonPalmieri1516.jpg,21
Norbert Gyömbér,1992-07-03,Defender,Slovakia,https://www.almanaccogiallorosso.it/Giocatori/Gyomber1516.jpg,23
Umar Sadiq Mesbah,1997-02-02,Attacker,Nigeria,https://www.almanaccogiallorosso.it/Giocatori/Sadiq1516.jpg,19
Lorenzo Di Livio,1997-01-11,Midfielder,Italy,https://www.almanaccogiallorosso.it/Giocatori/DiLivioLorenzo1617.jpg,19
Marco Tumminello,1998-11-06,Attacker,Italy,https://www.almanaccogiallorosso.it/Giocatori/Tumminello1617.jpg,17
Ervin Zukanović,1987-02-11,Defender,Bosnia and Herzegovina,https://www.almanaccogiallorosso.it/Giocatori/Zukanovic1516.jpg,29
Stephan El Shaarawy,1992-10-27,Attacker,Italy,https://www.almanaccogiallorosso.it/Giocatori/ElShaarawy1516.jpg,23
Diego Perotti,1988-07-26,Attacker,Argentina,https://www.almanaccogiallorosso.it/Giocatori/Perotti1516.jpg,27
Kevin Strootman,1990-02-13,Midfielder,Netherlands,https://www.almanaccogiallorosso.it/Giocatori/Strootman1516.jpg,26
Kingsley Coman,1996-06-13,Attacker,France,https://img.a.transfermarkt.technology/portrait/big/243714-1700040256.jpg?lm=1,20
Mario Mandžukić,1986-05-21,Attacker,Croatia,https://img.a.transfermarkt.technology/portrait/medium/34572-1669305573.jpg?lm=1,30
Simone Padoin,1984-01-18,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/56703-1448465244.jpg?lm=1,32
Andrea Barzagli,1981-05-08,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/7109-1416219029.jpg?lm=1,35
Leonardo Bonucci,1987-05-01,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/39983-1693590039.jpg?lm=1,29
Patrice Evra,1981-05-15,Defender,France,https://img.a.transfermarkt.technology/portrait/medium/5285-1416219199.jpg?lm=1,35
Giorgio Chiellini,1984-08-14,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/29260-1678025858.jpg?lm=1,31
Gianluigi Buffon,1978-01-28,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/header/5023-1713425275.jpg?lm=1,38
Paul Pogba,1993-03-15,Midfielder,France,https://img.a.transfermarkt.technology/portrait/medium/122153-1730124602.jpg?lm=1,23
Stephan Lichtsteiner,1984-01-16,Defender,Switzerland,https://img.a.transfermarkt.technology/portrait/medium/2865-1410245791.jpg?lm=1,32
Roberto Maximiliano Pereyra,1991-01-07,Midfielder,Argentina,https://img.a.transfermarkt.technology/portrait/medium/112302-1728415731.png?lm=1,25
Paulo Bruno Exequiel Dybala,1993-11-15,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/206050-1725530843.jpg?lm=1,22
Fernando Llorente Torres,1985-02-26,Attacker,Spain,https://img.a.transfermarkt.technology/portrait/medium/35564-1447240179.jpg?lm=1,31
Mauricio Aníbal Isla Isla,1988-06-12,Defender,Chile,https://img.a.transfermarkt.technology/portrait/medium/43722-1718986946.jpg?lm=1,28
José Martín Cáceres Silva,1987-04-07,Defender,Uruguay,https://img.a.transfermarkt.technology/portrait/medium/54935-1709930415.jpg?lm=1,29
Stefano Sturaro,1993-03-09,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/167859-1701772192.png?lm=1,23
Álvaro Borja Morata Martín,1992-10-23,Attacker,Spain,https://img.a.transfermarkt.technology/portrait/medium/128223-1719989301.jpg?lm=1,23
Rubens Fernando Moedim,1982-08-04,Goalkeeper,Brazil,https://img.a.transfermarkt.technology/portrait/medium/37598-1455553896.jpg?lm=1,33
Juan Guillermo Cuadrado Bello,1988-05-26,Attacker,Colombia,https://img.a.transfermarkt.technology/portrait/medium/91970-1663576912.jpg?lm=1,28
Anderson Hernanes de Carvalho Andrade,1985-05-29,Midfielder,Brazil,https://img.a.transfermarkt.technology/portrait/medium/52897-1410955079.jpg?lm=1,31
Claudio Marchisio,1986-01-19,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/44716-1557249476.png?lm=1,30
Alex Sandro Lobo Silva,1991-01-26,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/79960-1661351746.jpg?lm=1,25
Mario Lemina,1993-09-01,Midfielder,Gabon,https://img.a.transfermarkt.technology/portrait/medium/170934-1667549900.jpg?lm=1,22
Simone Zaza,1991-06-25,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/96828-1596184084.jpg?lm=1,25
Norberto Murara Neto,1989-07-19,Goalkeeper,Brazil,https://img.a.transfermarkt.technology/portrait/header/111819-1725051877.jpg?lm=1,26
Sami Khedira,1987-04-04,Midfielder,Germany,https://img.a.transfermarkt.technology/portrait/medium/29401-1595418857.jpg?lm=1,29
Kwadwo Asamoah,1988-12-09,Midfielder,Ghana,https://img.a.transfermarkt.technology/portrait/medium/63531-1455553903.jpg?lm=1,27
Daniele Rugani,1994-07-29,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/162959-1595858253.jpg?lm=1,21
Gonzalo Gerardo Higuaín,1987-12-10,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/39153-1595579337.jpg?lm=1,28
Dries Mertens,1987-05-06,Attacker,Belgium,https://img.a.transfermarkt.technology/portrait/medium/56416-1671109411.png?lm=1,29
Raúl Albiol i Tortajada,1985-09-04,Defender,Spain,https://img.a.transfermarkt.technology/portrait/medium/15452-1664974689.jpg?lm=1,30
Vlad Iulian Chiricheș,1989-11-14,Defender,Romania,https://img.a.transfermarkt.technology/portrait/medium/123261-1732266370.png?lm=1,26
Christian Maggio,1982-02-11,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/21151-1455552087.jpg?lm=1,34
Lorenzo Insigne,1991-06-04,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/133964-1740819475.jpg?lm=1,25
Mirko Valdifiori,1986-04-21,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/84903-1700049819.jpg?lm=1,30
Elseid Hysaj,1994-02-02,Defender,Albania,https://img.a.transfermarkt.technology/portrait/medium/200056-1661350737.jpg?lm=1,22
Marek Hamšík,1987-07-27,Midfielder,Slovakia,https://img.a.transfermarkt.technology/portrait/medium/38593-1630526043.png?lm=1,28
David López Silva,1989-10-09,Midfielder,Spain,https://img.a.transfermarkt.technology/portrait/medium/129444-1448529645.jpg?lm=1,26
José Manuel Reina Páez,1982-08-31,Goalkeeper,Spain,https://img.a.transfermarkt.technology/portrait/medium/7825-1724826388.jpg?lm=1,33
Manolo Gabbiadini,1991-11-26,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/112343-1663679945.jpg?lm=1,24
Omar El Kaddouri,1990-08-21,Midfielder,Morocco,https://img.a.transfermarkt.technology/portrait/medium/73097-1613847346.jpg?lm=1,25
José María Callejón Bueno,1987-02-11,Attacker,Spain,https://img.a.transfermarkt.technology/portrait/medium/61253-1602070711.jpg?lm=1,29
Kalidou Koulibaly,1991-06-20,Defender,Senegal,https://img.a.transfermarkt.technology/portrait/medium/93128-1697050549.png?lm=1,25
Allan Marques Loureiro,1991-01-08,Midfielder,Brazil,https://img.a.transfermarkt.technology/portrait/medium/126422-1448529525.jpg?lm=1,25
Jorge Luiz Frello Filho,1992-12-20,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/102017-1682590896.jpg?lm=1,23
Faouzi Ghoulam,1991-02-01,Defender,Algeria,https://img.a.transfermarkt.technology/portrait/medium/126656-1696432810.png?lm=1,25
Nathaniel Chalobah,1995-12-12,Midfielder,England,https://img.a.transfermarkt.technology/portrait/medium/128900-1651652768.jpg?lm=1,20
Ivan Strinić,1987-07-17,Defender,Croatia,https://img.a.transfermarkt.technology/portrait/medium/39799-1448529312.jpg?lm=1,28
Gabriel Vasconelos Ferreira,1992-09-27,Midfielder,Brazil,https://img.a.transfermarkt.technology/portrait/medium/79242-1633101492.jpg?lm=1,23
Vasco Regini,1990-09-09,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/72274-1663959711.jpg?lm=1,25
Rodrigo Sebastián Palacio,1982-02-05,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/39099-1410955127.jpg?lm=1,34
Juan Guilherme Nunes Jesus,1994-06-10,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/121985-1630496408.jpg?lm=1,22
Geoffrey Kondogbia,1993-02-15,Midfielder,France,https://img.a.transfermarkt.technology/portrait/medium/127189-1703066053.jpg?lm=1,23
