team_name,logo_url
Juventus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Juventus_FC_-_logo_black_%28Italy%2C_2020%29.svg/1024px-Juventus_FC_-_logo_black_%28Italy%2C_2020%29.svg.png
AS Roma,https://upload.wikimedia.org/wikipedia/it/thumb/0/0e/AS_Roma_Logo_2017.svg/1280px-AS_Roma_Logo_2017.svg.png
Lazio,https://mediaverse.sslazio.hiway.media/VMFS1/FILES/public/upload/63984ed7/logo_lazio.png?webp&q=70&size=300x-
AC Milan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/1024px-Logo_of_AC_Milan.svg.png
Inter Milan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/1920px-FC_Internazionale_Milano_2021.svg.png
Napoli,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/SSC_Napoli_2024_%28azure%29.svg/1920px-SSC_Napoli_2024_%28azure%29.svg.png
Palermo,https://upload.wikimedia.org/wikipedia/it/thumb/6/66/Palermo_Football_Club_logo.svg/1920px-Palermo_Football_Club_logo.svg.png
Sampdoria,https://upload.wikimedia.org/wikipedia/it/thumb/5/50/Sampdoriastemma.svg/1280px-Sampdoriastemma.svg.png
Sassuolo,https://upload.wikimedia.org/wikipedia/it/thumb/a/a4/Ussassuolostemma.svg/1920px-Ussassuolostemma.svg.png
Torino,https://upload.wikimedia.org/wikipedia/it/thumb/0/04/Torino_FC_logo.svg/1280px-Torino_FC_logo.svg.png
Atalanta,https://upload.wikimedia.org/wikipedia/it/thumb/8/81/Logo_Atalanta_Bergamo.svg/1024px-Logo_Atalanta_Bergamo.svg.png
Bologna,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bologna_F.C._1909_logo.svg/1024px-Bologna_F.C._1909_logo.svg.png
Chievo,https://upload.wikimedia.org/wikipedia/it/thumb/5/59/Chievoverona2024.svg/1920px-Chievoverona2024.svg.png
Empoli,https://upload.wikimedia.org/wikipedia/it/thumb/e/e4/Empoli_logo_2021.svg/1280px-Empoli_logo_2021.svg.png
Fiorentina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/ACF_Fiorentina_-_logo_%28Italy%2C_2022%29.svg/1920px-ACF_Fiorentina_-_logo_%28Italy%2C_2022%29.svg.png
Frosinone,https://upload.wikimedia.org/wikipedia/it/thumb/0/0b/Frosinone_Calcio_logo.svg/1280px-Frosinone_Calcio_logo.svg.png
Genoa,https://upload.wikimedia.org/wikipedia/it/thumb/9/99/Genoa_Cricket_and_Football_Club_logo.svg/1280px-Genoa_Cricket_and_Football_Club_logo.svg.png
Hellas Verona,https://upload.wikimedia.org/wikipedia/it/thumb/9/92/Hellas_Verona_FC_logo_%282020%29.svg/1920px-Hellas_Verona_FC_logo_%282020%29.svg.png
Udinese,https://upload.wikimedia.org/wikipedia/it/thumb/a/ae/Logo_Udinese_Calcio_2010.svg/1920px-Logo_Udinese_Calcio_2010.svg.png
Carpi,https://upload.wikimedia.org/wikipedia/it/e/e1/AC_Carpi_Logo.png
